run_id,phase,elapsed_s,transducer_psi,transducer_raw_psi,alicat_psi,switch_activated
1,out,7.5914049000130035,12.453931934237383,12.453931934237383,12.49,False
1,out,7.639270000043325,12.375988281598069,12.375988281598069,12.45,False
1,out,7.6874849000014365,12.369909043986626,12.369909043986626,12.4,False
1,out,7.735071800008882,12.282865414550058,12.282865414550058,12.35,False
1,out,7.783246900013182,12.269857356431164,12.269857356431164,12.3,False
1,out,7.831274800002575,12.202433084740615,12.202433084740615,12.25,False
1,out,7.87917190004373,12.155446859768606,12.155446859768606,12.2,False
1,out,7.926842700049747,12.114287572032861,12.114287572032861,12.16,False
1,out,7.97498070000438,12.072881132909187,12.072881132909187,12.11,False
1,out,8.02307940000901,11.977805083364895,11.977805083364895,12.06,False
1,out,8.071293500019237,11.97670320009371,11.97670320009371,12.01,False
1,out,8.118846100056544,11.918555687095948,11.918555687095948,11.97,False
1,out,8.167050200048834,11.864352298330568,11.864352298330568,11.92,False
1,out,8.214766000048257,11.807519493410267,11.807519493410267,11.87,False
1,out,8.262623400019947,11.78615977797424,11.78615977797424,11.82,False
1,out,8.31070610001916,11.713581370047905,11.713581370047905,11.77,False
1,out,8.358749100007117,11.693145039658448,11.693145039658448,11.73,False
1,out,8.406410100054927,11.630341125858925,11.630341125858925,11.68,False
1,out,8.454865800042171,11.586765246774531,11.586765246774531,11.63,False
1,out,8.502292700053658,11.529755659958697,11.529755659958697,11.58,False
1,out,8.5505510000512,11.497020115361563,11.497020115361563,11.53,False
1,out,8.598352000000887,11.413851956994064,11.413851956994064,11.49,False
1,out,8.646408300031908,11.404326330584265,11.404326330584265,11.44,False
1,out,8.69427210005233,11.34358372801324,11.34358372801324,11.39,False
1,out,8.742095200053882,11.278078312237314,11.278078312237314,11.34,False
1,out,8.79020380001748,11.261124413556955,11.261124413556955,11.3,False
1,out,8.838098200038075,11.208699141721405,11.208699141721405,11.25,False
1,out,8.886722000024747,11.158443309846572,11.158443309846572,11.2,False
1,out,8.934069400012959,11.098660135232858,11.098660135232858,11.15,False
1,out,8.981946000014432,11.064681968379743,11.064681968379743,11.1,False
1,out,9.029822000011336,10.996190139999666,10.996190139999666,11.06,False
1,out,9.07782580005005,10.968929685176812,10.968929685176812,11.01,False
1,out,9.126059000031091,10.912985938721425,10.912985938721425,10.96,False
1,out,9.174758700013626,10.88206455396486,10.88206455396486,10.91,False
1,out,9.2217070000479,10.821747601006381,10.821747601006381,10.86,False
1,out,9.269589700037614,10.799037134582154,10.799037134582154,10.82,False
1,out,9.317414700053632,10.703818629723989,10.703818629723989,10.77,False
1,out,9.365217700018547,10.701757318495488,10.701757318495488,10.72,False
1,out,9.413249600038398,10.620008564279503,10.620008564279503,10.67,False
1,out,9.461448100046255,10.598079027587971,10.598079027587971,10.62,False
1,out,9.509013600007165,10.538793588408284,10.538793588408284,10.58,False
1,out,9.557068500027526,10.487470199843921,10.487470199843921,10.53,False
1,out,9.605040000053123,10.43330285398928,10.43330285398928,10.48,False
1,out,9.652955199999269,10.411302947805352,10.411302947805352,10.43,False
1,out,9.70059520000359,10.338903038103632,10.338903038103632,10.38,False
1,out,9.74922160001006,10.310930306711398,10.310930306711398,10.34,False
1,out,9.797687400016002,10.248945081884392,10.248945081884392,10.29,False
1,out,9.845721400051843,10.20163790337389,10.20163790337389,10.24,False
1,out,9.89250690001063,10.160337876653351,10.160337876653351,10.19,False
1,out,9.940703400003258,10.089714367552377,10.089714367552377,10.14,False
1,out,9.98851240001386,10.055983352087193,10.055983352087193,10.1,False
