# port: port_b
# start_pressure_psia: 0.1
# end_pressure_psia: 20.0
# rate_psi_s: 1.2
# no_dio: 9
# nc_dio: 11
# com_dio: 12

timestamp,elapsed_time,phase,transducer_voltage,transducer_pressure_calc,alicat_pressure,no_active,nc_active,switch_activated,com_state
514677.8197154,34.46487329999218,ramping,0.9666272401809692,13.415533155202866,13.52,False,True,False,0
514677.873766,34.51892389997374,ramping,0.9662408828735352,13.404425382614136,13.52,False,True,False,0
514677.8984802,34.54363809997449,ramping,0.9658767580986023,13.393956795334816,13.52,False,True,False,0
514677.9231983,34.56835620000493,ramping,0.9666099548339844,13.41503620147705,13.52,False,True,False,0
514677.9703318,34.615489699994214,ramping,0.966701328754425,13.41766320168972,13.52,False,True,False,0
514677.9949013,34.64005919999909,ramping,0.9659594893455505,13.396335318684578,13.52,False,True,False,0
514678.0195269,34.66468480002368,ramping,0.9656903743743896,13.388598263263702,13.52,False,True,False,0
514678.0439292,34.68908709997777,ramping,0.967260479927063,13.433738797903061,13.52,False,True,False,0
514678.0973371,34.74249500001315,ramping,0.9656533598899841,13.387534096837044,13.52,False,True,False,0
514678.1215905,34.766748399997596,ramping,0.966424822807312,13.40971365571022,13.52,False,True,False,0
514678.1462746,34.791432500001974,ramping,0.9672443866729736,13.433276116847992,13.52,False,True,False,0
514678.1942094,34.83936729998095,ramping,0.9655718803405762,13.385191559791565,13.52,False,True,False,0
514678.2188358,34.86399370001163,ramping,0.9664433598518372,13.410246595740318,13.52,False,True,False,0
514678.2433608,34.88851870002691,ramping,0.9667729139328003,13.419721275568008,13.52,False,True,False,0
514678.2675176,34.912675499974284,ramping,0.9659101366996765,13.3949164301157,13.52,False,True,False,0
514678.3217197,34.9668776000035,ramping,0.9653324484825134,13.378307893872261,13.52,False,True,False,0
514678.3463787,34.99153659999138,ramping,0.9665507078170776,13.413332849740982,13.52,False,True,False,0
514678.370791,35.01594890002161,ramping,0.9653521776199341,13.378875106573105,13.52,False,True,False,0
514678.4177282,35.062886099971365,ramping,0.9659619331359863,13.396405577659607,13.52,False,True,False,0
